,title,subhead,author,url,premium,article_type,img_url
12,"A voir ce soir : « Civil War », sur Canal+, Kirsten Dunst en journaliste dans une dystopie rattrapée par l’actualité américaine",,,https://www.lemonde.fr/culture/article/2025/06/14/civil-war-sur-canal-kirsten-dunst-en-journaliste-dans-une-dystopie-rattrapee-par-l-actualite-americaine_6613048_3246.html,is prenium,,
13,La « fermeture sauvage » d’une entreprise détenue par un Français au Maroc plonge des dizaines de salariés dans la précarité,,,https://www.lemonde.fr/afrique/article/2025/06/14/au-maroc-la-fermeture-sauvage-d-une-entreprise-detenue-par-un-francais-plonge-des-dizaines-de-salaries-dans-la-precarite_6612991_3212.html,is prenium,,
14,Le ministre de l’intérieur Bruno Retailleau demande aux préfets de renforcer la vigilance en France après les attaques entre Israël et l’Iran,,,https://www.lemonde.fr/societe/article/2025/06/14/bruno-retailleau-renforce-la-securite-en-france-du-fait-de-l-echange-de-frappes-entre-israel-et-l-iran_6613023_3224.html,,,
15,"Marc’O, auteur, metteur en scène et touche-à-tout de la scène artistique, est mort",,,https://www.lemonde.fr/disparitions/article/2025/06/14/marc-o-auteur-metteur-en-scene-et-touche-a-tout-de-la-scene-artistique-est-mort_6613041_3382.html,is prenium,,
16,Un capitaine de l’Ofast à Marseille mis en examen pour trafic de stupéfiants,,,https://www.lemonde.fr/societe/article/2025/06/14/marseille-un-capitaine-de-police-mis-en-examen-pour-trafic-de-stupefiants_6613020_3224.html,,,
17,"Lenine, chanteur et guitariste brésilien : « Le frevo, j’ai baigné dedans »",,,https://www.lemonde.fr/culture/article/2025/06/14/lenine-chanteur-et-guitariste-bresilien-le-frevo-j-ai-baigne-dedans_6613029_3246.html,is prenium,,
18,Neuf idées reçues sur la rénovation énergétique des bâtiments,,,https://www.lemonde.fr/les-decodeurs/article/2022/11/23/passoires-thermiques-fenetres-aides-financieres-neuf-idees-recues-sur-la-renovation-thermique-des-batiments_6151257_4355770.html,,,
19,"Israël a déjoué la riposte iranienne et poursuit son offensive militaire, en préparation depuis huit mois","Les salves de missiles envoyées par l’Iran, dans la nuit du vendredi 13 au samedi 14 juin, ont fait au moins trois morts sur le territoire israélien et 70 blessés.",,https://www.lemonde.fr/international/article/2025/06/14/israel-parvient-a-dejouer-la-riposte-iranienne-et-poursuit-son-offensive_6613008_3210.html,is prenium,Décryptage,https://img.lemde.fr/2025/06/14/0/0/5905/3937/664/442/75/0/314537e_upload-1-e6laq38nxhwh-gettyimages-2219307267.jpg
20,Le régime iranien ébranlé par la violence de l’attaque israélienne,"Les frappes de l’Etat hébreu, qui ont fait près de 80 morts, ont décimé la chaîne de commandement militaire iranienne. Téhéran se considère désormais « en guerre ».",,https://www.lemonde.fr/international/article/2025/06/14/le-regime-iranien-ebranle-par-la-violence-de-l-attaque-israelienne_6613000_3210.html,is prenium,Les faits,https://img.lemde.fr/2025/06/14/0/0/5755/3836/664/442/75/0/8bc70ff_upload-1-eay6sivxzp3k-63492650-erfan-khoshkhoo-14.jpg
21,"Thomas Piketty : « Ce qui frappe parmi les opposants à l’impôt sur les ultrariches, c’est leur absence totale de perspective historique »","Même si le Sénat s’est prononcé contre la taxe de 2 % sur les patrimoines de plus de 100 millions d’euros, l’ampleur de la dette française et les besoins de financements liés aux défis sociaux et climatiques imposeront très vite des mesures de redistribution encore plus radicales, estime l’économiste dans sa chronique.",,https://www.lemonde.fr/idees/article/2025/06/14/thomas-piketty-ce-qui-frappe-parmi-les-opposants-a-l-impot-sur-les-ultrariches-c-est-leur-absence-totale-de-perspective-historique_6612972_3232.html,is prenium,Chronique,https://img.lemde.fr/2025/06/12/0/0/5763/3842/664/442/75/0/2dc1722_ftp-import-images-1-ruyjscsgyfpp-2025-06-12t092815z-423104073-rc2x0fa3s3c0-rtrmadp-3-france-politics-protest.JPG
22,Editorial du « Monde » : le choix de la guerre et de ses risques,,Le Monde,https://www.lemonde.fr/idees/article/2025/06/14/israel-iran-le-choix-de-la-guerre-et-de-ses-risques_6613006_3232.html,,Éditorial,
23,IA : « Les robots peuvent-ils battre les loups de Wall Street ? »,,Isabelle Chaperon,https://www.lemonde.fr/economie/article/2025/06/13/ia-les-robots-peuvent-ils-battre-les-loups-de-wall-street_6612704_3234.html,is prenium,Chronique,https://img.lemde.fr/2025/04/14/0/0/0/0/100/100/60/0/eadb1b2_sirius-fs-upload-1-a9tixojc3cjh-1744643951260-isabelle-chaperon.jpg
24,« Ce n’est pas dans la culture de l’armée américaine de participer aux opérations de maintien de l’ordre »,,Propos recueillis par,https://www.lemonde.fr/idees/article/2025/06/13/ce-n-est-pas-dans-la-culture-de-l-armee-americaine-de-participer-aux-operations-de-maintien-de-l-ordre_6612679_3232.html,is prenium,Entretien,
